palabra,definicion,nivel2,past_participle,past_simple,tipo
touch,,A2 Flyers,,,
visit,,A2 Flyers,,,
put on,,B1 Preliminar,,,
try on,,B1 Preliminar,,,
fasten,,B1 Preliminar,,,
delete,,B1 Preliminar,,,
invent,,B1 Preliminar,,,
go out,,B1 Preliminar,,,
damage,,B1 Preliminar,,,
injure,,B1 Preliminar,,,
repair,,B1 Preliminar,,,
switch,,B1 Preliminar,,,
handle,,B1 Preliminar,,,
answer,,B1 Preliminar,,,
change,,B1 Preliminar,,,
return,,B1 Preliminar,,,
choose,,B1 Preliminar,,,
reduce,,B1 Preliminar,,,
bounce,,Pre A1 Starters,,,
listen,,Pre A1 Starters,,,
photo/,,A1 Movers,,,
freeze,,B1 Preliminar,,,
arrive,,B1 Preliminar,,,
depart,,B1 Preliminar,,,
travel,,B1 Preliminar,,,
retire,,B1 Preliminar,,,
direct,,B1 Preliminar,,,
should,,B1 Preliminar,,,
attack,,B1 Preliminar,,,
charge,,B1 Preliminar,,,
colour,,B1 Preliminar,,,
defeat,,B1 Preliminar,,,
demand,,B1 Preliminar,,,
design,,B1 Preliminar,,,
excuse,,B1 Preliminar,,,
finish,,B1 Preliminar,,,
matter,,B1 Preliminar,,,
notice,,B1 Preliminar,,,
record,,B1 Preliminar,,,
regret,,B1 Preliminar,,,
report,,B1 Preliminar,,,
rescue,,B1 Preliminar,,,
scream,,B1 Preliminar,,,
search,,B1 Preliminar,,,
signal,,B1 Preliminar,,,
strike,,B1 Preliminar,,,
update,,B1 Preliminar,,,
upload,,B1 Preliminar,,,
cut up,,B1 Preliminar,,,
end up,,B1 Preliminar,,,
get in,,B1 Preliminar,,,
get on,,B1 Preliminar,,,
get up,,B1 Preliminar,,,
go for,,B1 Preliminar,,,
go off,,B1 Preliminar,,,
put up,,B1 Preliminar,,,
set up,,B1 Preliminar,,,
accept,,B1 Preliminar,,,
admire,,B1 Preliminar,,,
advise,,B1 Preliminar,,,
affect,,B1 Preliminar,,,
afford,,B1 Preliminar,,,
appear,,B1 Preliminar,,,
arrest,,B1 Preliminar,,,
assist,,B1 Preliminar,,,
attach,,B1 Preliminar,,,
attend,,B1 Preliminar,,,
become,,B1 Preliminar,,,
behave,,B1 Preliminar,,,
belong,,B1 Preliminar,,,
borrow,,B1 Preliminar,,,
bother,,B1 Preliminar,,,
cancel,,B1 Preliminar,,,
create,,B1 Preliminar,,,
decide,,B1 Preliminar,,,
defend,,B1 Preliminar,,,
divide,,B1 Preliminar,,,
employ,,B1 Preliminar,,,
escape,,B1 Preliminar,,,
expect,,B1 Preliminar,,,
follow,,B1 Preliminar,,,
forget,,B1 Preliminar,,,
glance,,B1 Preliminar,,,
happen,,B1 Preliminar,,,
ignore,,B1 Preliminar,,,
inform,,B1 Preliminar,,,
insist,,B1 Preliminar,,,
intend,,B1 Preliminar,,,
invite,,B1 Preliminar,,,
listen,,B1 Preliminar,,,
locate,,B1 Preliminar,,,
manage,,B1 Preliminar,,,
permit,,B1 Preliminar,,,
prefer,,B1 Preliminar,,,
punish,,B1 Preliminar,,,
refuse,,B1 Preliminar,,,
remain,,B1 Preliminar,,,
remind,,B1 Preliminar,,,
remove,,B1 Preliminar,,,
repeat,,B1 Preliminar,,,
revise,,B1 Preliminar,,,
select,,B1 Preliminar,,,
suffer,,B1 Preliminar,,,
supply,,B1 Preliminar,,,
unpack,,B1 Preliminar,,,
wonder,,B1 Preliminar,,,
appear,,A1 Movers,,,
arrive,,A1 Movers,,,
borrow,,A1 Movers,,,
called,,A1 Movers,,,
change,,A1 Movers,,,
choose,,Pre A1 Starters,,,
decide,,A1 Movers,,,
finish,,A1 Movers,,,
follow,,A1 Movers,,,
forget,,A1 Movers,,,
happen,,A1 Movers,,,
invent,,A1 Movers,,,
invite,,A1 Movers,,,
off/on,,A2 Flyers,,,
prefer,,A2 Flyers,,,
repair,,A2 Flyers,,,
repeat,,A2 Flyers,,,
should,,A2 Flyers,,,
travel,,A1 Movers,,,
undress,,B1 Preliminar,,,
dial up,,B1 Preliminar,,,
hang up,,B1 Preliminar,,,
ring up,,B1 Preliminar,,,
